PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,Churn
9000,43,Male,Other,Strategy,16.27111876,0,Medium,6,108,79,25,Medium,No
9001,29,Female,USA,Strategy,5.525961381,0,Medium,5,144,11,10,Medium,No
9002,22,Female,USA,Sports,8.223755243,0,Easy,16,142,35,41,High,No
9003,35,Male,USA,Action,5.265351277,1,Easy,9,85,57,47,Medium,No
9004,33,Male,Europe,Action,15.53194452,0,Medium,2,131,95,37,Medium,No
9005,37,Male,Europe,RPG,20.56185541,0,Easy,2,81,74,22,Low,Yes
9006,25,Male,USA,Action,9.752716366,0,Hard,1,50,13,2,Low,Yes
9007,25,Female,Asia,RPG,4.401729345,0,Medium,10,48,27,23,Medium,No
9008,38,Female,Europe,Simulation,18.1527326,0,Easy,5,101,23,41,Medium,No
9009,38,Female,Other,Sports,23.94277173,0,Easy,13,95,99,36,High,No
9010,17,Male,USA,Strategy,4.829915834,0,Hard,8,95,14,12,High,No
9011,36,Female,Asia,Simulation,5.535980925,1,Easy,16,124,62,31,High,No
9012,16,Male,USA,Sports,18.77623381,1,Easy,9,18,52,32,High,No
9013,38,Female,USA,Strategy,8.701959181,0,Easy,0,156,33,47,Low,Yes
9014,44,Male,USA,Simulation,17.97520048,0,Easy,8,41,98,1,Low,Yes
9015,16,Male,Europe,RPG,7.951511339,0,Medium,10,156,58,24,High,No
9016,35,Male,Asia,Strategy,17.88789846,0,Easy,16,154,62,4,High,No
9017,47,Male,USA,RPG,17.2721129,0,Medium,2,131,13,9,Low,Yes
9018,26,Female,Asia,Action,19.41607874,0,Easy,3,135,77,25,Medium,No
9019,36,Female,Asia,RPG,19.33882552,0,Easy,4,56,21,30,Low,Yes
9020,39,Female,USA,Sports,1.722580982,0,Easy,2,177,34,37,Medium,No
9021,41,Female,USA,Sports,16.16768979,0,Easy,18,159,36,33,High,No
9022,42,Male,USA,Sports,10.44812619,0,Medium,2,120,81,5,Low,Yes
9023,30,Male,Europe,Strategy,17.95983486,0,Easy,14,117,40,19,High,No
9024,29,Male,Europe,Sports,22.5647231,0,Medium,12,161,1,22,High,No
